penalty,.iter,.metric,.estimator,mean,n,std_err,.config,model
2.457884503337254e-10,0,bal_accuracy,binary,0.8441123256863509,15,0.0076614586708041235,Model01,lasso-glove
2.457884503337254e-10,0,f_meas,binary,0.5152588180965318,15,0.013206371408669731,Model01,lasso-glove
2.457884503337254e-10,0,kap,binary,0.46282421331226387,15,0.013811207890606482,Model01,lasso-glove
2.457884503337254e-10,0,npv,binary,0.9817492527861901,15,0.001462468678628198,Model01,lasso-glove
2.457884503337254e-10,0,ppv,binary,0.3847521233943738,15,0.012742691844674902,Model01,lasso-glove
2.457884503337254e-10,0,precision,binary,0.3847521233943738,15,0.012742691844674905,Model01,lasso-glove
2.457884503337254e-10,0,recall,binary,0.7879786851531605,15,0.015279365697906205,Model01,lasso-glove
2.457884503337254e-10,0,roc_auc,binary,0.9328825884721816,15,0.0033818429638531613,Model01,lasso-glove
4.0554983885765414e-10,0,bal_accuracy,binary,0.8441123256863509,15,0.0076614586708041235,Model02,lasso-glove
4.0554983885765414e-10,0,f_meas,binary,0.5152588180965318,15,0.013206371408669731,Model02,lasso-glove
4.0554983885765414e-10,0,kap,binary,0.46282421331226387,15,0.013811207890606482,Model02,lasso-glove
4.0554983885765414e-10,0,npv,binary,0.9817492527861901,15,0.001462468678628198,Model02,lasso-glove
4.0554983885765414e-10,0,ppv,binary,0.3847521233943738,15,0.012742691844674902,Model02,lasso-glove
4.0554983885765414e-10,0,precision,binary,0.3847521233943738,15,0.012742691844674905,Model02,lasso-glove
4.0554983885765414e-10,0,recall,binary,0.7879786851531605,15,0.015279365697906205,Model02,lasso-glove
4.0554983885765414e-10,0,roc_auc,binary,0.9328825884721816,15,0.0033818429638531613,Model02,lasso-glove
7.974102740232067e-10,0,bal_accuracy,binary,0.8441123256863509,15,0.0076614586708041235,Model03,lasso-glove
7.974102740232067e-10,0,f_meas,binary,0.5152588180965318,15,0.013206371408669731,Model03,lasso-glove
7.974102740232067e-10,0,kap,binary,0.46282421331226387,15,0.013811207890606482,Model03,lasso-glove
7.974102740232067e-10,0,npv,binary,0.9817492527861901,15,0.001462468678628198,Model03,lasso-glove
7.974102740232067e-10,0,ppv,binary,0.3847521233943738,15,0.012742691844674902,Model03,lasso-glove
7.974102740232067e-10,0,precision,binary,0.3847521233943738,15,0.012742691844674905,Model03,lasso-glove
7.974102740232067e-10,0,recall,binary,0.7879786851531605,15,0.015279365697906205,Model03,lasso-glove
7.974102740232067e-10,0,roc_auc,binary,0.9328825884721816,15,0.0033818429638531613,Model03,lasso-glove
3.2127070307433665e-9,0,bal_accuracy,binary,0.8441123256863509,15,0.0076614586708041235,Model04,lasso-glove
3.2127070307433665e-9,0,f_meas,binary,0.5152588180965318,15,0.013206371408669731,Model04,lasso-glove
3.2127070307433665e-9,0,kap,binary,0.46282421331226387,15,0.013811207890606482,Model04,lasso-glove
3.2127070307433665e-9,0,npv,binary,0.9817492527861901,15,0.001462468678628198,Model04,lasso-glove
3.2127070307433665e-9,0,ppv,binary,0.3847521233943738,15,0.012742691844674902,Model04,lasso-glove
3.2127070307433665e-9,0,precision,binary,0.3847521233943738,15,0.012742691844674905,Model04,lasso-glove
3.2127070307433665e-9,0,recall,binary,0.7879786851531605,15,0.015279365697906205,Model04,lasso-glove
3.2127070307433665e-9,0,roc_auc,binary,0.9328825884721816,15,0.0033818429638531613,Model04,lasso-glove
5.442568203146455e-9,0,bal_accuracy,binary,0.8441123256863509,15,0.0076614586708041235,Model05,lasso-glove
