mtry,min_n,.iter,.metric,.estimator,mean,n,std_err,.config,model
3,37,0,bal_accuracy,binary,0.7461562473094939,15,0.00867229731983345,Model01,rf-glove
3,37,0,f_meas,binary,0.5492208516481651,15,0.01568357710331639,Model01,rf-glove
3,37,0,kap,binary,0.5162347986102109,15,0.016370943889701624,Model01,rf-glove
3,37,0,npv,binary,0.9626438307648864,15,0.001591756571278711,Model01,rf-glove
3,37,0,ppv,binary,0.5877401992760877,15,0.021911195609996895,Model01,rf-glove
3,37,0,precision,binary,0.5877401992760877,15,0.02191119560999689,Model01,rf-glove
3,37,0,recall,binary,0.5214843998271269,15,0.017524196296013,Model01,rf-glove
3,37,0,roc_auc,binary,0.9302189753820223,15,0.0037933370048521373,Model01,rf-glove
49,25,0,bal_accuracy,binary,0.7858199812646448,15,0.009503274809605146,Model02,rf-glove
49,25,0,f_meas,binary,0.5676182293942953,15,0.012778462861764187,Model02,rf-glove
49,25,0,kap,binary,0.5313695975134368,15,0.013209656490596506,Model02,rf-glove
49,25,0,npv,binary,0.9691713332337429,15,0.001857999858729703,Model02,rf-glove
49,25,0,ppv,binary,0.5348223720743374,15,0.017290962948108633,Model02,rf-glove
49,25,0,precision,binary,0.5348223720743374,15,0.017290962948108664,Model02,rf-glove
49,25,0,recall,binary,0.6140828874694236,15,0.020425683961526477,Model02,rf-glove
49,25,0,roc_auc,binary,0.9262649297305633,15,0.0043871091368021566,Model02,rf-glove
26,3,0,bal_accuracy,binary,0.7775288587509445,15,0.010012251948011563,Model03,rf-glove
26,3,0,f_meas,binary,0.5786594292333195,15,0.01403914989941012,Model03,rf-glove
26,3,0,kap,binary,0.5454858711837139,15,0.014666884275003568,Model03,rf-glove
26,3,0,npv,binary,0.9674501809091126,15,0.0019822672980142056,Model03,rf-glove
26,3,0,ppv,binary,0.5778605930511033,15,0.019945384493790474,Model03,rf-glove
26,3,0,precision,binary,0.5778605930511033,15,0.019945384493790505,Model03,rf-glove
26,3,0,recall,binary,0.5893543656620647,15,0.02124802248856129,Model03,rf-glove
26,3,0,roc_auc,binary,0.9319676642328122,15,0.0045208314976563175,Model03,rf-glove
39,12,0,bal_accuracy,binary,0.777540186506333,15,0.010369168243393822,Model04,rf-glove
39,12,0,f_meas,binary,0.5669576799649205,15,0.014055397857695601,Model04,rf-glove
39,12,0,kap,binary,0.5319026036036152,15,0.014634237209019635,Model04,rf-glove
39,12,0,npv,binary,0.9676717648992534,15,0.00200053760590158,Model04,rf-glove
39,12,0,ppv,binary,0.5513588892992454,15,0.018695624399536225,Model04,rf-glove
39,12,0,precision,binary,0.5513588892992454,15,0.018695624399536228,Model04,rf-glove
39,12,0,recall,binary,0.593448951807388,15,0.022073968264273398,Model04,rf-glove
39,12,0,roc_auc,binary,0.9280511338683844,15,0.00481387535694855,Model04,rf-glove
68,39,0,bal_accuracy,binary,0.7895460611921435,15,0.009063769048116071,Model05,rf-glove
68,39,0,f_meas,binary,0.5563823605025602,15,0.012008023378526075,Model05,rf-glove
68,39,0,kap,binary,0.5176390718961971,15,0.012467294400869086,Model05,rf-glove
68,39,0,npv,binary,0.9700257141773801,15,0.0018166365252176803,Model05,rf-glove
68,39,0,ppv,binary,0.5052803454810515,15,0.01524868318090506,Model05,rf-glove
68,39,0,precision,binary,0.5052803454810515,15,0.015248683180905052,Model05,rf-glove
68,39,0,recall,binary,0.6278874556393217,15,0.01941478604125778,Model05,rf-glove
68,39,0,roc_auc,binary,0.9211618769323436,15,0.00434417074550281,Model05,rf-glove
35,31,0,bal_accuracy,binary,0.7815382916581891,15,0.010184963759016391,Model06,rf-glove
35,31,0,f_meas,binary,0.5731509605783329,15,0.013919327865738839,Model06,rf-glove
35,31,0,kap,binary,0.5385397654188095,15,0.014482212989209485,Model06,rf-glove
35,31,0,npv,binary,0.9682671700097886,15,0.0019924615040913746,Model06,rf-glove
35,31,0,ppv,binary,0.556545543124254,15,0.018927395983475922,Model06,rf-glove
35,31,0,precision,binary,0.5565455431242539,15,0.018927395983475922,Model06,rf-glove
35,31,0,recall,binary,0.6011991161022476,15,0.02184418094576838,Model06,rf-glove
35,31,0,roc_auc,binary,0.9306743970460251,15,0.004169056783155934,Model06,rf-glove
62,13,0,bal_accuracy,binary,0.7795076206139439,15,0.010584942401187084,Model07,rf-glove
62,13,0,f_meas,binary,0.5554830975852091,15,0.01337685080214143,Model07,rf-glove
62,13,0,kap,binary,0.5181659534160203,15,0.013891974549364949,Model07,rf-glove
62,13,0,npv,binary,0.9682003761625878,15,0.002074108678966155,Model07,rf-glove
62,13,0,ppv,binary,0.5222594093470352,15,0.01586491033039359,Model07,rf-glove
62,13,0,precision,binary,0.5222594093470353,15,0.015864910330393594,Model07,rf-glove
62,13,0,recall,binary,0.6026634319137012,15,0.022535392948194614,Model07,rf-glove
62,13,0,roc_auc,binary,0.9215773050674101,15,0.004509305554658902,Model07,rf-glove
53,37,0,bal_accuracy,binary,0.7890027367325668,15,0.009562170731925633,Model08,rf-glove
53,37,0,f_meas,binary,0.563136212239051,15,0.012232000853305012,Model08,rf-glove
53,37,0,kap,binary,0.5257088585750717,15,0.012658278110071359,Model08,rf-glove
53,37,0,npv,binary,0.9697793242521163,15,0.0019063760229366662,Model08,rf-glove
53,37,0,ppv,binary,0.5202760019397682,15,0.0164103611829939,Model08,rf-glove
53,37,0,precision,binary,0.5202760019397683,15,0.016410361182993917,Model08,rf-glove
53,37,0,recall,binary,0.6236791950961138,15,0.020591139446700733,Model08,rf-glove
53,37,0,roc_auc,binary,0.9257608367486081,15,0.004210060137759109,Model08,rf-glove
13,7,0,bal_accuracy,binary,0.7748013365010883,15,0.01013035834581095,Model09,rf-glove
13,7,0,f_meas,binary,0.5918047451598787,15,0.014580405263580532,Model09,rf-glove
13,7,0,kap,binary,0.5612071705015632,15,0.01510564927869491,Model09,rf-glove
13,7,0,npv,binary,0.9668262527178093,15,0.0019218734043175358,Model09,rf-glove
13,7,0,ppv,binary,0.6170525318318841,15,0.020602432308393686,Model09,rf-glove
13,7,0,precision,binary,0.6170525318318842,15,0.020602432308393683,Model09,rf-glove
13,7,0,recall,binary,0.5781566402133431,15,0.02128696255412387,Model09,rf-glove
13,7,0,roc_auc,binary,0.9348586211553,15,0.00431683855219781,Model09,rf-glove
46,25,0,bal_accuracy,binary,0.7845657004160554,15,0.00960806866646209,Model10,rf-glove
46,25,0,f_meas,binary,0.5679344778102541,15,0.013479630015919047,Model10,rf-glove
46,25,0,kap,binary,0.5319194436260013,15,0.01399635002765642,Model10,rf-glove
46,25,0,npv,binary,0.9689590238469835,15,0.0018511985470539066,Model10,rf-glove
46,25,0,ppv,binary,0.5380087144649849,15,0.018256708351293123,Model10,rf-glove
46,25,0,precision,binary,0.538008714464985,15,0.01825670835129314,Model10,rf-glove
46,25,0,recall,binary,0.6108545062326437,15,0.02055419642740258,Model10,rf-glove
46,25,0,roc_auc,binary,0.926223851414987,15,0.004554373011464795,Model10,rf-glove
11,5,0,bal_accuracy,binary,0.7686405172352256,15,0.009956331134950277,Model11,rf-glove
11,5,0,f_meas,binary,0.5859640769484155,15,0.015465256613859089,Model11,rf-glove
11,5,0,kap,binary,0.5553351238273377,15,0.016049467512070252,Model11,rf-glove
11,5,0,npv,binary,0.9659271260735232,15,0.0018205662423399405,Model11,rf-glove
11,5,0,ppv,binary,0.6186709342389006,15,0.021749456361452413,Model11,rf-glove
11,5,0,precision,binary,0.6186709342389006,15,0.021749456361452417,Model11,rf-glove
11,5,0,recall,binary,0.5650031400593523,15,0.020741972759382787,Model11,rf-glove
11,5,0,roc_auc,binary,0.9349321860758513,15,0.004443835617644145,Model11,rf-glove
16,33,0,bal_accuracy,binary,0.7744675895034002,15,0.009065887298147182,Model12,rf-glove
16,33,0,f_meas,binary,0.5791458248755653,15,0.013677614426424957,Model12,rf-glove
16,33,0,kap,binary,0.546477874482608,15,0.014277657192396426,Model12,rf-glove
16,33,0,npv,binary,0.966912720716599,15,0.0018515978534824177,Model12,rf-glove
16,33,0,ppv,binary,0.5862056043824165,15,0.020643875738809783,Model12,rf-glove
16,33,0,precision,binary,0.5862056043824165,15,0.020643875738809808,Model12,rf-glove
16,33,0,recall,binary,0.5816706661850306,15,0.01917147044024445,Model12,rf-glove
16,33,0,roc_auc,binary,0.9360758793014674,15,0.0041701526124917,Model12,rf-glove
34,19,0,bal_accuracy,binary,0.7800918939810242,15,0.009880877599135977,Model13,rf-glove
34,19,0,f_meas,binary,0.5730702698549299,15,0.014097620217324533,Model13,rf-glove
34,19,0,kap,binary,0.5386255122178908,15,0.014672118512496404,Model13,rf-glove
34,19,0,npv,binary,0.968045498171317,15,0.0019027254625873776,Model13,rf-glove
34,19,0,ppv,binary,0.5592819501820884,15,0.019553574626012732,Model13,rf-glove
34,19,0,precision,binary,0.5592819501820885,15,0.01955357462601274,Model13,rf-glove
34,19,0,recall,binary,0.5977099562106487,15,0.02109252322206424,Model13,rf-glove
34,19,0,roc_auc,binary,0.9297303239585816,15,0.004581302269923959,Model13,rf-glove
60,30,0,bal_accuracy,binary,0.7862888778987139,15,0.010394647509502974,Model14,rf-glove
60,30,0,f_meas,binary,0.5570717814413825,15,0.012928129761814155,Model14,rf-glove
60,30,0,kap,binary,0.5190407705490527,15,0.01334676634858658,Model14,rf-glove
60,30,0,npv,binary,0.9694029090297728,15,0.002022463441416353,Model14,rf-glove
60,30,0,ppv,binary,0.512797341721105,15,0.015388621906430774,Model14,rf-glove
60,30,0,precision,binary,0.5127973417211049,15,0.015388621906430748,Model14,rf-glove
60,30,0,recall,binary,0.6190922267557664,15,0.022107377559524976,Model14,rf-glove
60,30,0,roc_auc,binary,0.922786769075624,15,0.004287597183880781,Model14,rf-glove
43,16,0,bal_accuracy,binary,0.782139594903615,15,0.009252143441571131,Model15,rf-glove
43,16,0,f_meas,binary,0.5706034209845346,15,0.013594269541186546,Model15,rf-glove
43,16,0,kap,binary,0.5353614265552148,15,0.01420923634458794,Model15,rf-glove
43,16,0,npv,binary,0.9684388135593328,15,0.0018430390863974438,Model15,rf-glove
43,16,0,ppv,binary,0.5487410765588657,15,0.019228959987634173,Model15,rf-glove
43,16,0,precision,binary,0.5487410765588657,15,0.019228959987634194,Model15,rf-glove
43,16,0,recall,binary,0.6038427123434049,15,0.019748797477294747,Model15,rf-glove
43,16,0,roc_auc,binary,0.926874182374549,15,0.0046399436889625455,Model15,rf-glove
30,9,0,bal_accuracy,binary,0.7751236104937138,15,0.011344799764683526,Model16,rf-glove
30,9,0,f_meas,binary,0.5711917301301112,15,0.01520558531417749,Model16,rf-glove
30,9,0,kap,binary,0.5373207386411841,15,0.015806864908365467,Model16,rf-glove
30,9,0,npv,binary,0.9671940737299866,15,0.0021019919865670777,Model16,rf-glove
30,9,0,ppv,binary,0.5674826844712201,15,0.019425291782022593,Model16,rf-glove
30,9,0,precision,binary,0.5674826844712201,15,0.019425291782022604,Model16,rf-glove
30,9,0,recall,binary,0.5857436278915378,15,0.024050217179402197,Model16,rf-glove
30,9,0,roc_auc,binary,0.9307001010199321,15,0.0043575156026927535,Model16,rf-glove
51,5,0,bal_accuracy,binary,0.7827794562115657,15,0.010067664952990715,Model17,rf-glove
51,5,0,f_meas,binary,0.5692851834675222,15,0.01231488926422494,Model17,rf-glove
51,5,0,kap,binary,0.5337845074258948,15,0.012767305177977707,Model17,rf-glove
51,5,0,npv,binary,0.968543124352598,15,0.0019832402353806115,Model17,rf-glove
51,5,0,ppv,binary,0.5448149133942866,15,0.016491585126731226,Model17,rf-glove
51,5,0,precision,binary,0.5448149133942864,15,0.016491585126731264,Model17,rf-glove
51,5,0,recall,binary,0.6057344850771288,15,0.021615795144348773,Model17,rf-glove
51,5,0,roc_auc,binary,0.9234774486659363,15,0.004676012751677329,Model17,rf-glove
19,27,0,bal_accuracy,binary,0.77467169613146325,15,0.009652129285759684,Model18,rf-glove
19,27,0,f_meas,binary,0.5761056416776874,15,0.014461652374287237,Model18,rf-glove
19,27,0,kap,binary,0.542979921906108,15,0.01508632183626832,Model18,rf-glove
19,27,0,npv,binary,0.9670012246103165,15,0.0019296127243715357,Model18,rf-glove
19,27,0,ppv,binary,0.579210420214144,15,0.020510136575945328,Model18,rf-glove
19,27,0,precision,binary,0.5792104202141442,15,0.02051013657594535,Model18,rf-glove
19,27,0,recall,binary,0.5831559398590722,15,0.020476582005711674,Model18,rf-glove
19,27,0,roc_auc,binary,0.9352099231029253,15,0.0039109470696373876,Model18,rf-glove
8,15,0,bal_accuracy,binary,0.7640451899349179,15,0.011105904048785559,Model19,rf-glove
8,15,0,f_meas,binary,0.5782523639275098,15,0.018002803186366365,Model19,rf-glove
8,15,0,kap,binary,0.5472192790036446,15,0.018752901860849568,Model19,rf-glove
8,15,0,npv,binary,0.9652325253684858,15,0.001964824504311722,Model19,rf-glove
8,15,0,ppv,binary,0.6118127985140038,15,0.02222570827525942,Model19,rf-glove
8,15,0,precision,binary,0.6118127985140038,15,0.0222257082752594,Model19,rf-glove
8,15,0,recall,binary,0.5559341750232891,15,0.022577617339318897,Model19,rf-glove
8,15,0,roc_auc,binary,0.935877806752807,15,0.0041177298359052015,Model19,rf-glove
