mtry,min_n,.iter,.metric,.estimator,mean,n,std_err,.config,model
4,37,0,bal_accuracy,binary,0.7744090427301243,50,0.0064053911038906616,Model01,rf-wv
4,37,0,f_meas,binary,0.5593187033435314,50,0.01122211803715947,Model01,rf-wv
4,37,0,kap,binary,0.5237295972336286,50,0.011859662986410242,Model01,rf-wv
4,37,0,npv,binary,0.9670727240222728,50,0.001402296488194689,Model01,rf-wv
4,37,0,ppv,binary,0.5456101892958573,50,0.014936878057824177,Model01,rf-wv
4,37,0,precision,binary,0.5456101892958574,50,0.014936878057824168,Model01,rf-wv
4,37,0,recall,binary,0.5880411994290183,50,0.012940527279143113,Model01,rf-wv
4,37,0,roc_auc,binary,0.9287396549840192,50,0.003256431049222035,Model01,rf-wv
83,25,0,bal_accuracy,binary,0.7955001096420687,50,0.006218742660462778,Model02,rf-wv
83,25,0,f_meas,binary,0.5827442735047508,50,0.010359353470575238,Model02,rf-wv
83,25,0,kap,binary,0.5479638954318565,50,0.010944945469428325,Model02,rf-wv
83,25,0,npv,binary,0.9704562938460936,50,0.001310183088221986,Model02,rf-wv
83,25,0,ppv,binary,0.5511866540968288,50,0.013748966955417797,Model02,rf-wv
83,25,0,precision,binary,0.5511866540968288,50,0.013748966955417793,Model02,rf-wv
83,25,0,recall,binary,0.632029387855767,50,0.012615564502892118,Model02,rf-wv
83,25,0,roc_auc,binary,0.931257254637052,50,0.0028385672616722357,Model02,rf-wv
45,3,0,bal_accuracy,binary,0.7965584478588027,50,0.0064639527005280585,Model03,rf-wv
45,3,0,f_meas,binary,0.5966375515467273,50,0.010310981354434581,Model03,rf-wv
45,3,0,kap,binary,0.5639330036206113,50,0.010950328648483403,Model03,rf-wv
45,3,0,npv,binary,0.970244878463485,50,0.0014344015193176313,Model03,rf-wv
45,3,0,ppv,binary,0.5801789395657198,50,0.014426708358545365,Model03,rf-wv
45,3,0,precision,binary,0.5801789395657199,50,0.01442670835854536,Model03,rf-wv
45,3,0,recall,binary,0.6296200131871631,50,0.01319702357639695,Model03,rf-wv
45,3,0,roc_auc,binary,0.9367791475500282,50,0.0028325257925186885,Model03,rf-wv
67,12,0,bal_accuracy,binary,0.7932485069657124,50,0.006643715148198498,Model04,rf-wv
67,12,0,f_meas,binary,0.5827197572996856,50,0.010382336163855328,Model04,rf-wv
67,12,0,kap,binary,0.54832410943949494,50,0.01095051366557177,Model04,rf-wv
67,12,0,npv,binary,0.9700106831554854,50,0.0014031018181000314,Model04,rf-wv
67,12,0,ppv,binary,0.5560216521818506,50,0.013358845958792644,Model04,rf-wv
67,12,0,precision,binary,0.5560216521818505,50,0.013358845958792638,Model04,rf-wv
67,12,0,recall,binary,0.6262334585653144,50,0.013543586225269742,Model04,rf-wv
67,12,0,roc_auc,binary,0.9330260444729687,50,0.002780826585818676,Model04,rf-wv
116,39,0,bal_accuracy,binary,0.7964557404278658,50,0.0057388447419985025,Model05,rf-wv
116,39,0,f_meas,binary,0.5768680996479891,50,0.01042295386639616,Model05,rf-wv
116,39,0,kap,binary,0.5409251290108781,50,0.011070128710612146,Model05,rf-wv
116,39,0,npv,binary,0.9707147145321102,50,0.0012671941999303849,Model05,rf-wv
116,39,0,ppv,binary,0.5383507005592769,50,0.014452498654358952,Model05,rf-wv
116,39,0,precision,binary,0.5383507005592769,50,0.014452498654358943,Model05,rf-wv
116,39,0,recall,binary,0.636874301250164,50,0.01155778041424809,Model05,rf-wv
116,39,0,roc_auc,binary,0.92573054015634,50,0.0031347676706323956,Model05,rf-wv
60,31,0,bal_accuracy,binary,0.7978160667853413,50,0.006712066840039904,Model06,rf-wv
60,31,0,f_meas,binary,0.5870205379653394,50,0.010317992101229563,Model06,rf-wv
60,31,0,kap,binary,0.552719409266129,50,0.010904890925398175,Model06,rf-wv
60,31,0,npv,binary,0.970701954195951,50,0.001407458566784797,Model06,rf-wv
60,31,0,ppv,binary,0.5568848879640127,50,0.013718321465468765,Model06,rf-wv
60,31,0,precision,binary,0.5568848879640127,50,0.013718321465468758,Model06,rf-wv
60,31,0,recall,binary,0.6359406857513139,50,0.013745502638100314,Model06,rf-wv
60,31,0,roc_auc,binary,0.9348483777473153,50,0.0027420069272560965,Model06,rf-wv
106,13,0,bal_accuracy,binary,0.7902819704371444,50,0.006280260272791297,Model07,rf-wv
106,13,0,f_meas,binary,0.57988152938674975,50,0.010923356606234858,Model07,rf-wv
106,13,0,kap,binary,0.5452605595955231,50,0.011570947269492177,Model07,rf-wv
106,13,0,npv,binary,0.969571799863159,50,0.0013389050289982231,Model07,rf-wv
