mtry,.iter,.metric,.estimator,mean,n,std_err,.config,model
56,1,bal_accuracy,binary,0.703541903373179,10,0.014599370389485469,Model1,rf
56,1,f_meas,binary,0.9702318611381354,10,0.0024410047748069006,Model1,rf
56,1,kap,binary,0.48859885384013446,10,0.029840375649037007,Model1,rf
56,1,npv,binary,0.6797091436255519,10,0.03629726137865945,Model1,rf
56,1,ppv,binary,0.9563736577270094,10,0.004009021010722408,Model1,rf
56,1,precision,binary,0.9563736577270094,10,0.004009021010722413,Model1,rf
56,1,recall,binary,0.9845869948637103,10,0.0021264147392205555,Model1,rf
56,1,roc_auc,binary,0.9386562481968919,10,0.007121409682802882,Model1,rf
65,16,bal_accuracy,binary,0.7078722073671858,10,0.015283521924583047,Model1,rf
65,16,f_meas,binary,0.9703835689282464,10,0.002103860193956999,Model1,rf
65,16,kap,binary,0.49287927922204605,10,0.029302623193268894,Model1,rf
65,16,npv,binary,0.6792221083010554,10,0.03791665437312195,Model1,rf
65,16,ppv,binary,0.9572996249216157,10,0.0035917187633092923,Model1,rf
65,16,precision,binary,0.9572996249216158,10,0.0035917187633093053,Model1,rf
65,16,recall,binary,0.9839328906031881,10,0.0025199014803303425,Model1,rf
65,16,roc_auc,binary,0.9393891268427674,10,0.007019967525548482,Model1,rf
75,6,bal_accuracy,binary,0.7317859066030693,10,0.014579278249913265,Model1,rf
75,6,f_meas,binary,0.9711274514856606,10,0.0024094471424830127,Model1,rf
75,6,kap,binary,0.5307350255845686,10,0.02990152010032072,Model1,rf
75,6,npv,binary,0.6755830134777503,10,0.036160721120877766,Model1,rf
75,6,ppv,binary,0.9603372337615911,10,0.0038883426015137164,Model1,rf
75,6,precision,binary,0.9603372337615911,10,0.0038883426015137185,Model1,rf
75,6,recall,binary,0.9822523832810586,10,0.002338437949789625,Model1,rf
75,6,roc_auc,binary,0.9387631527994569,10,0.007236345711291381,Model1,rf
80,37,bal_accuracy,binary,0.727877469353325,10,0.01677800892189092,Model1,rf
80,37,f_meas,binary,0.9704680788962132,10,0.0026118911580157384,Model1,rf
80,37,kap,binary,0.5200058895622001,10,0.03379736272549259,Model1,rf
80,37,npv,binary,0.6667794486215537,10,0.043496829052137385,Model1,rf
80,37,ppv,binary,0.9597037532523036,10,0.004266769077295295,Model1,rf
80,37,precision,binary,0.9597037532523036,10,0.0042667690772953,Model1,rf
80,37,recall,binary,0.9815931354686084,10,0.002684261210429562,Model1,rf
80,37,roc_auc,binary,0.9392591732031726,10,0.006967219899124915,Model1,rf
86,23,bal_accuracy,binary,0.7372901549854705,10,0.014289886247918595,Model1,rf
86,23,f_meas,binary,0.9711011096444229,10,0.0022253306097839414,Model1,rf
86,23,kap,binary,0.5351876616063626,10,0.029897856527757186,Model1,rf
86,23,npv,binary,0.6668931068931068,10,0.03909732584386487,Model1,rf
86,23,ppv,binary,0.9615569370137019,10,0.0034462315827115246,Model1,rf
86,23,precision,binary,0.961556937013702,10,0.003446231582711529,Model1,rf
86,23,recall,binary,0.9809277578017478,10,0.0027186169806920576,Model1,rf
86,23,roc_auc,binary,0.9398437732019459,10,0.0068132914387431034,Model1,rf
103,32,bal_accuracy,binary,0.7488908152583225,10,0.014562283382214401,Model1,rf
103,32,f_meas,binary,0.9696749685372783,10,0.0025466005114904854,Model1,rf
103,32,kap,binary,0.53744912749959906,10,0.02969153655295709,Model1,rf
103,32,npv,binary,0.6316380160759956,10,0.03738139296281766,Model1,rf
103,32,ppv,binary,0.9629681262515208,10,0.0037929618070309218,Model1,rf
103,32,precision,binary,0.9629681262515208,10,0.0037929618070309153,Model1,rf
103,32,recall,binary,0.976566347992152,10,0.0028216387577495133,Model1,rf
103,32,roc_auc,binary,0.94002387884098,10,0.007202033044784889,Model1,rf
110,15,bal_accuracy,binary,0.754152170903666,10,0.013079374529790754,Model1,rf
110,15,f_meas,binary,0.9699823106589192,10,0.0026248429905846747,Model1,rf
110,15,kap,binary,0.547238959430275,10,0.025935279409996827,Model1,rf
110,15,npv,binary,0.6409533199111204,10,0.03427965666159979,Model1,rf
110,15,ppv,binary,0.9635994504902006,10,0.00390228898935614,Model1,rf
110,15,precision,binary,0.9635994504902006,10,0.0039022889893561585,Model1,rf
110,15,recall,binary,0.9765506276422402,10,0.0029892894861982063,Model1,rf
110,15,roc_auc,binary,0.9399556213689667,10,0.00681541813519302,Model1,rf
117,30,bal_accuracy,binary,0.7541336662590378,10,0.013715166265048415,Model1,rf
117,30,f_meas,binary,0.9691432351735167,10,0.0024185507751929495,Model1,rf
117,30,kap,binary,0.5383880809940768,10,0.02540314552367531,Model1,rf
117,30,npv,binary,0.6206316831080259,10,0.031763511430626334,Model1,rf
117,30,ppv,binary,0.9635689813282982,10,0.00414480089160763,Model1,rf
117,30,precision,binary,0.9635689813282982,10,0.00414480089160763,Model1,rf
117,30,recall,binary,0.9749093402781174,10,0.00275783421367479,Model1,rf
117,30,roc_auc,binary,0.9401075924805954,10,0.0067305850150177595,Model1,rf
125,7,bal_accuracy,binary,0.7529774768986323,10,0.012657498722474844,Model1,rf
125,7,f_meas,binary,0.9689887591951589,10,0.0021094546810572078,Model1,rf
125,7,kap,binary,0.5347986602927943,10,0.025296016644282545,Model1,rf
125,7,npv,binary,0.6153257198448341,10,0.03641713554096284,Model1,rf
125,7,ppv,binary,0.9635505341146884,10,0.00376335867406106,Model1,rf
125,7,precision,binary,0.9635505341146884,10,0.0037633586740610635,Model1,rf
125,7,recall,binary,0.9746015133780347,10,0.0025562557859817314,Model1,rf
125,7,roc_auc,binary,0.9396183797812312,10,0.006836461483394567,Model1,rf
131,35,bal_accuracy,binary,0.7532088470771879,10,0.014768692886110617,Model1,rf
131,35,f_meas,binary,0.9688052475618338,10,0.002359598003613151,Model1,rf
131,35,kap,binary,0.533797424797737,10,0.026976076373062877,Model1,rf
131,35,npv,binary,0.6128267151739691,10,0.03388910515265726,Model1,rf
131,35,ppv,binary,0.9635449333858099,10,0.004068677613715503,Model1,rf
131,35,precision,binary,0.9635449333858099,10,0.0040686776137155095,Model1,rf
131,35,recall,binary,0.9742435254438293,10,0.0026602521550804985,Model1,rf
131,35,roc_auc,binary,0.9390583144866578,10,0.007026213491885685,Model1,rf
137,3,bal_accuracy,binary,0.7614923780134654,10,0.014608759675373024,Model1,rf
137,3,f_meas,binary,0.968744901064137,10,0.0026324003476894927,Model1,rf
137,3,kap,binary,0.5434583657743803,10,0.026932431819826075,Model1,rf
137,3,npv,binary,0.6126709678786336,10,0.034267184421106794,Model1,rf
137,3,ppv,binary,0.9647666130125775,10,0.004121337796597694,Model1,rf
137,3,precision,binary,0.9647666130125775,10,0.004121337796597693,Model1,rf
137,3,recall,binary,0.9728769748761928,10,0.003081271652526231,Model1,rf
137,3,roc_auc,binary,0.9397233943726548,10,0.00667522004843344,Model1,rf
143,34,bal_accuracy,binary,0.7557313271204056,10,0.013010471883719687,Model1,rf
143,34,f_meas,binary,0.9680921702278203,10,0.002322314424881002,Model1,rf
143,34,kap,binary,0.5315885997746865,10,0.025055885919538223,Model1,rf
