mtry,min_n,tree_depth,learn_rate,loss_reduction,sample_size,.iter,.metric,.estimator,mean,n,std_err,.config,model
9,38,3,1.4285338940721665e-4,0.08921896934599861,0.20484448984917253,0,bal_accuracy,binary,0.8150022973117378,50,0.004917613408355968,Model01,xgb-wv-wv
9,38,3,1.4285338940721665e-4,0.08921896934599861,0.20484448984917253,0,f_meas,binary,0.3845968480005634,50,0.00821375455985306,Model01,xgb-wv-wv
9,38,3,1.4285338940721665e-4,0.08921896934599861,0.20484448984917253,0,kap,binary,0.3082022415098924,50,0.007845348181538904,Model01,xgb-wv-wv
9,38,3,1.4285338940721665e-4,0.08921896934599861,0.20484448984917253,0,npv,binary,0.9831127162081554,50,0.0010109066033366853,Model01,xgb-wv-wv
9,38,3,1.4285338940721665e-4,0.08921896934599861,0.20484448984917253,0,ppv,binary,0.25301613447056065,50,0.0066588792846731,Model01,xgb-wv-wv
9,38,3,1.4285338940721665e-4,0.08921896934599861,0.20484448984917253,0,precision,binary,0.25301613447056065,50,0.006658879284673097,Model01,xgb-wv-wv
9,38,3,1.4285338940721665e-4,0.08921896934599861,0.20484448984917253,0,recall,binary,0.8226366223890496,50,0.01022446744432639,Model01,xgb-wv-wv
9,38,3,1.4285338940721665e-4,0.08921896934599861,0.20484448984917253,0,roc_auc,binary,0.8941975900028355,50,0.004173794290386118,Model01,xgb-wv-wv
88,8,3,3.517203542960351e-5,0.0013458216284231357,0.4910936898505316,0,bal_accuracy,binary,0.8379956708640149,50,0.006405580496436295,Model02,xgb-wv-wv
88,8,3,3.517203542960351e-5,0.0013458216284231357,0.4910936898505316,0,f_meas,binary,0.5338844058742261,50,0.010730745912594116,Model02,xgb-wv-wv
88,8,3,3.517203542960351e-5,0.0013458216284231357,0.4910936898505316,0,kap,binary,0.4861499413345008,50,0.011400802306700503,Model02,xgb-wv-wv
88,8,3,3.517203542960351e-5,0.0013458216284231357,0.4910936898505316,0,npv,binary,0.9794490160913817,50,0.0012361910340488102,Model02,xgb-wv-wv
88,8,3,3.517203542960351e-5,0.0013458216284231357,0.4910936898505316,0,ppv,binary,0.4183989523334028,50,0.012212429256536669,Model02,xgb-wv-wv
88,8,3,3.517203542960351e-5,0.0013458216284231357,0.4910936898505316,0,precision,binary,0.4183989523334028,50,0.01221242925653667,Model02,xgb-wv-wv
88,8,3,3.517203542960351e-5,0.0013458216284231357,0.4910936898505316,0,recall,binary,0.7603933408822796,50,0.012741756121330626,Model02,xgb-wv-wv
88,8,3,3.517203542960351e-5,0.0013458216284231357,0.4910936898505316,0,roc_auc,binary,0.9355646977094803,50,0.0027145131449024485,Model02,xgb-wv-wv
108,39,10,2.437481255557468e-5,1.3734189129127371e-10,0.34370887430664154,0,bal_accuracy,binary,0.832758913203394,50,0.005769647528500887,Model03,xgb-wv-wv
108,39,10,2.437481255557468e-5,1.3734189129127371e-10,0.34370887430664154,0,f_meas,binary,0.44331379986755165,50,0.008682389912585759,Model03,xgb-wv-wv
108,39,10,2.437481255557468e-5,1.3734189129127371e-10,0.34370887430664154,0,kap,binary,0.37822752767221185,50,0.00889277677298797,Model03,xgb-wv-wv
108,39,10,2.437481255557468e-5,1.3734189129127371e-10,0.34370887430664154,0,npv,binary,0.9826520095080742,50,0.0011636059175583408,Model03,xgb-wv-wv
108,39,10,2.437481255557468e-5,1.3734189129127371e-10,0.34370887430664154,0,ppv,binary,0.3084141644857948,50,0.00788491803170805,Model03,xgb-wv-wv
108,39,10,2.437481255557468e-5,1.3734189129127371e-10,0.34370887430664154,0,precision,binary,0.3084141644857948,50,0.007884918031708049,Model03,xgb-wv-wv
108,39,10,2.437481255557468e-5,1.3734189129127371e-10,0.34370887430664154,0,recall,binary,0.810027453576136,50,0.011965795264969705,Model03,xgb-wv-wv
108,39,10,2.437481255557468e-5,1.3734189129127371e-10,0.34370887430664154,0,roc_auc,binary,0.9239123196118844,50,0.003252103943745464,Model03,xgb-wv-wv
23,35,5,1.7970083864381482e-10,7.288247419055451e-6,0.5692492785369978,0,bal_accuracy,binary,0.5671222555385391,50,0.004708981969774418,Model04,xgb-wv-wv
23,35,5,1.7970083864381482e-10,7.288247419055451e-6,0.5692492785369978,0,f_meas,binary,0.23683116922385763,48,0.013334970091310188,Model04,xgb-wv-wv
23,35,5,1.7970083864381482e-10,7.288247419055451e-6,0.5692492785369978,0,kap,binary,0.21168136207666574,50,0.01382716093165626,Model04,xgb-wv-wv
23,35,5,1.7970083864381482e-10,7.288247419055451e-6,0.5692492785369978,0,npv,binary,0.9360684964231885,50,0.0017680700224960064,Model04,xgb-wv-wv
23,35,5,1.7970083864381482e-10,7.288247419055451e-6,0.5692492785369978,0,ppv,binary,0.796626984126984,48,0.030921339724541492,Model04,xgb-wv-wv
23,35,5,1.7970083864381482e-10,7.288247419055451e-6,0.5692492785369978,0,precision,binary,0.7966269841269841,48,0.030921339724541478,Model04,xgb-wv-wv
23,35,5,1.7970083864381482e-10,7.288247419055451e-6,0.5692492785369978,0,recall,binary,0.1368869303303891,50,0.0094665227650527,Model04,xgb-wv-wv
23,35,5,1.7970083864381482e-10,7.288247419055451e-6,0.5692492785369978,0,roc_auc,binary,0.8348855289612498,50,0.004415968826924221,Model04,xgb-wv-wv
77,29,8,6.261747130851787e-9,0.5781988950703769,0.7223724922286346,0,bal_accuracy,binary,0.8415494586824998,50,0.005711818814137354,Model05,xgb-wv-wv
77,29,8,6.261747130851787e-9,0.5781988950703769,0.7223724922286346,0,f_meas,binary,0.5614815731942011,50,0.010551301880089736,Model05,xgb-wv-wv
77,29,8,6.261747130851787e-9,0.5781988950703769,0.7223724922286346,0,kap,binary,0.5181419286794741,50,0.011171804659821238,Model05,xgb-wv-wv
77,29,8,6.261747130851787e-9,0.5781988950703769,0.7223724922286346,0,npv,binary,0.9793919442002147,50,0.0011302376606177845,Model05,xgb-wv-wv
77,29,8,6.261747130851787e-9,0.5781988950703769,0.7223724922286346,0,ppv,binary,0.45349529829203,50,0.012428551464368606,Model05,xgb-wv-wv
77,29,8,6.261747130851787e-9,0.5781988950703769,0.7223724922286346,0,precision,binary,0.45349529829203,50,0.012428551464368604,Model05,xgb-wv-wv
77,29,8,6.261747130851787e-9,0.5781988950703769,0.7223724922286346,0,recall,binary,0.7555294891551605,50,0.011275807353469704,Model05,xgb-wv-wv
77,29,8,6.261747130851787e-9,0.5781988950703769,0.7223724922286346,0,roc_auc,binary,0.9389270665752665,50,0.0027126258049065557,Model05,xgb-wv-wv
16,16,2,3.318751340419835e-8,6.19830589843135e-4,0.6111048835273831,0,bal_accuracy,binary,0.826193543249495,50,0.004427544065311548,Model06,xgb-wv-wv
16,16,2,3.318751340419835e-8,6.19830589843135e-4,0.6111048835273831,0,f_meas,binary,0.40288539597761513,50,0.008363392574526115,Model06,xgb-wv-wv
16,16,2,3.318751340419835e-8,6.19830589843135e-4,0.6111048835273831,0,kap,binary,0.3296482093061522,50,0.008071503461657272,Model06,xgb-wv-wv
16,16,2,3.318751340419835e-8,6.19830589843135e-4,0.6111048835273831,0,npv,binary,0.9842529678103307,50,8.826283698474435e-4,Model06,xgb-wv-wv
16,16,2,3.318751340419835e-8,6.19830589843135e-4,0.6111048835273831,0,ppv,binary,0.26778900204087985,50,0.007006197311115906,Model06,xgb-wv-wv
16,16,2,3.318751340419835e-8,6.19830589843135e-4,0.6111048835273831,0,precision,binary,0.26778900204087985,50,0.007006197311115906,Model06,xgb-wv-wv
16,16,2,3.318751340419835e-8,6.19830589843135e-4,0.6111048835273831,0,recall,binary,0.8326799194301726,50,0.008872951401111029,Model06,xgb-wv-wv
16,16,2,3.318751340419835e-8,6.19830589843135e-4,0.6111048835273831,0,roc_auc,binary,0.910570217545802,50,0.0035121901435030234,Model06,xgb-wv-wv
14,3,4,2.3384718459910545e-8,0.3538365598129143,0.7728959981771185,0,bal_accuracy,binary,0.8213257244063978,50,0.0051638347819050155,Model07,xgb-wv-wv
14,3,4,2.3384718459910545e-8,0.3538365598129143,0.7728959981771185,0,f_meas,binary,0.40171717856813,50,0.008512368848046107,Model07,xgb-wv-wv
14,3,4,2.3384718459910545e-8,0.3538365598129143,0.7728959981771185,0,kap,binary,0.3287889767382319,50,0.008211238752983978,Model07,xgb-wv-wv
14,3,4,2.3384718459910545e-8,0.3538365598129143,0.7728959981771185,0,npv,binary,0.9830802498933104,50,0.0010213125576132391,Model07,xgb-wv-wv
14,3,4,2.3384718459910545e-8,0.3538365598129143,0.7728959981771185,0,ppv,binary,0.26834201102289895,50,0.007099335062429872,Model07,xgb-wv-wv
14,3,4,2.3384718459910545e-8,0.3538365598129143,0.7728959981771185,0,precision,binary,0.26834201102289895,50,0.007099335062429872,Model07,xgb-wv-wv
14,3,4,2.3384718459910545e-8,0.3538365598129143,0.7728959981771185,0,recall,binary,0.8194737437290361,50,0.010643652482312617,Model07,xgb-wv-wv
14,3,4,2.3384718459910545e-8,0.3538365598129143,0.7728959981771185,0,roc_auc,binary,0.9113624521037872,50,0.004011752871415684,Model07,xgb-wv-wv
61,5,9,2.475851006279356e-6,3.180473416981213,0.8811190128428861,0,bal_accuracy,binary,0.8351735624995377,50,0.0051755130065563,Model08,xgb-wv-wv
61,5,9,2.475851006279356e-6,3.180473416981213,0.8811190128428861,0,f_meas,binary,0.5767835098329429,50,0.010232413491461196,Model08,xgb-wv-wv
61,5,9,2.475851006279356e-6,3.180473416981213,0.8811190128428861,0,kap,binary,0.5364245656152512,50,0.01087702520753356,Model08,xgb-wv-wv
61,5,9,2.475851006279356e-6,3.180473416981213,0.8811190128428861,0,npv,binary,0.9778366848696938,50,0.0010887234333683275,Model08,xgb-wv-wv
61,5,9,2.475851006279356e-6,3.180473416981213,0.8811190128428861,0,ppv,binary,0.4831358581577562,50,0.012984412128705752,Model08,xgb-wv-wv
61,5,9,2.475851006279356e-6,3.180473416981213,0.8811190128428861,0,precision,binary,0.4831358581577562,50,0.01298441212870575,Model08,xgb-wv-wv
61,5,9,2.475851006279356e-6,3.180473416981213,0.8811190128428861,0,recall,binary,0.7332471551393275,50,0.010504581959537875,Model08,xgb-wv-wv
61,5,9,2.475851006279356e-6,3.180473416981213,0.8811190128428861,0,roc_auc,binary,0.9416926524120808,50,0.002744733802928852,Model08,xgb-wv-wv
46,17,7,1.0224999730139922e-9,1.3676318774268595e-8,0.27516057934891436,0,bal_accuracy,binary,0.8416217513805446,50,0.005814919826140077,Model09,xgb-wv-wv
46,17,7,1.0224999730139922e-9,1.3676318774268595e-8,0.27516057934891436,0,f_meas,binary,0.5412164546378601,50,0.01041784811407909,Model09,xgb-wv-wv
46,17,7,1.0224999730139922e-9,1.3676318774268595e-8,0.27516057934891436,0,kap,binary,0.49414682550166245,50,0.01107946882323018,Model09,xgb-wv-wv
46,17,7,1.0224999730139922e-9,1.3676318774268595e-8,0.27516057934891436,0,npv,binary,0.9801206500899405,50,0.001141069310464634,Model09,xgb-wv-wv
46,17,7,1.0224999730139922e-9,1.3676318774268595e-8,0.27516057934891436,0,ppv,binary,0.4236080572453088,50,0.01130878602671125,Model09,xgb-wv-wv
46,17,7,1.0224999730139922e-9,1.3676318774268595e-8,0.27516057934891436,0,precision,binary,0.4236080572453088,50,0.01130878602671125,Model09,xgb-wv-wv
46,17,7,1.0224999730139922e-9,1.3676318774268595e-8,0.27516057934891436,0,recall,binary,0.7664176147550508,50,0.011322186344440327,Model09,xgb-wv-wv
46,17,7,1.0224999730139922e-9,1.3676318774268595e-8,0.27516057934891436,0,roc_auc,binary,0.9328580264233479,50,0.0028307280246147562,Model09,xgb-wv-wv
93,26,11,9.240471338390417e-7,2.982613873760663e-9,0.5422900338480249,0,bal_accuracy,binary,0.8376231369909729,50,0.005736719064246368,Model10,xgb-wv-wv
93,26,11,9.240471338390417e-7,2.982613873760663e-9,0.5422900338480249,0,f_meas,binary,0.5556799251899381,50,0.010938049651301395,Model10,xgb-wv-wv
93,26,11,9.240471338390417e-7,2.982613873760663e-9,0.5422900338480249,0,kap,binary,0.5118136481807567,50,0.011595403135435287,Model10,xgb-wv-wv
93,26,11,9.240471338390417e-7,2.982613873760663e-9,0.5422900338480249,0,npv,binary,0.9788715964273876,50,0.0011208192164075107,Model10,xgb-wv-wv
93,26,11,9.240471338390417e-7,2.982613873760663e-9,0.5422900338480249,0,ppv,binary,0.4500006723510908,50,0.01295624597472998,Model10,xgb-wv-wv
93,26,11,9.240471338390417e-7,2.982613873760663e-9,0.5422900338480249,0,precision,binary,0.45000067235109076,50,0.012956245974729986,Model10,xgb-wv-wv
93,26,11,9.240471338390417e-7,2.982613873760663e-9,0.5422900338480249,0,recall,binary,0.7488023021614993,50,0.011731499846936453,Model10,xgb-wv-wv
93,26,11,9.240471338390417e-7,2.982613873760663e-9,0.5422900338480249,0,roc_auc,binary,0.9353274907536931,50,0.002809389375333621,Model10,xgb-wv-wv
